"scientific_name","common_name","source"
"Caulolatilus affinis","tilefish","FDA The Seafood List, 2023/07/21"
"Caulolatilus chrysops","tilefish","FDA The Seafood List, 2023/07/21"
"Caulolatilus princeps","tilefish","FDA The Seafood List, 2023/07/21"
"Cellana denticulata","limpet","FDA The Seafood List, 2023/07/21"
"Centroberyx affinis","alfonsino","FDA The Seafood List, 2023/07/21"
"Centroberyx gerrardi","alfonsino","FDA The Seafood List, 2023/07/21"
"Centrolophus niger","black ruff","FDA The Seafood List, 2023/07/21"
"Centropomus mexicanus","snook","FDA The Seafood List, 2023/07/21"
"Cephalophus natalensis","red forest duiker","BP"
"Cephenemyia trompe","caribou nose bot fly","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Cerastoderma edule","common cockle","SJ"
"Cerax quadricarinatus","red claw crayfish","FAO Cultured Aquatic Species Fact Sheets"
"Cervimunida johni","squat lobster","SJ"
"Cetacea","whales","JL"
"Cetengraulis mysticetus","anchovy","FDA The Seafood List, 2023/07/21"
"Chaceon afiinis","deep sea crab","FDA The Seafood List, 2023/07/21"
"Chaceon fenneri","golden crab","FDA The Seafood List, 2023/07/21"
"Chaceon maritae","red crab","FDA The Seafood List, 2023/07/21"
"Chaceon quinquedens","red crab","FDA The Seafood List, 2023/07/21"
"Chaetodipterus zonatus","spadefish","FDA The Seafood List, 2023/07/21"
"Channidae","snakehead","JL"
"Chaoborus edulis","glass worm","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Chascanopsetta crumenalis","flounder","FDA The Seafood List, 2023/07/21"
"Cheilodactylus spectabilis","morwong","FDA The Seafood List, 2023/07/21"
"Cheilopogon exsiliens","flyingfish","FDA The Seafood List, 2023/07/21"
"Cheilopogon heterurus hubbsi","flyingfish","FDA The Seafood List, 2023/07/21"
"Cheilotrema saturnum","croaker","FDA The Seafood List, 2023/07/21"
"Chelidonichthys lucernus","searobin","FDA The Seafood List, 2023/07/21"
"Cherax destructor","common yabby","Newton, ""The Oldest Foods on Earth"""
"Chione californiensis","venus clam","FDA The Seafood List, 2023/07/21"
"Chione undatella","venus clam","FDA The Seafood List, 2023/07/21"
"Chionista fluctifraga","venus clam","FDA The Seafood List, 2023/07/21"
"Chionoecetes","snow crab","JL"
"Chionoecetes angulatus","snow crab","FDA The Seafood List, 2023/07/21"
"Chionoecetes bairdi","snow crab","SJ"
"Chionoecetes japonicus","beni-zuwai crab","FDA The Seafood List, 2023/07/21"
"Chionoecetes opilio","snow crab","SJ"
"Chionoecetes tanneri","snow crab","FDA The Seafood List, 2023/07/21"
"Chironemus marmoratus","kelpfish","FDA The Seafood List, 2023/07/21"
"Chirostoma jordani","charal","FDA The Seafood List, 2023/07/21"
"Chirostyloidea","langostino","JL"
"Chlamys albida","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys circularis aequisculata","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys farreri","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys hastata","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys islandica","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys opercularis","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys patagonica","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys purpurata","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys rubida","scallop","FDA The Seafood List, 2023/07/21"
"Chlamys vitrea","scallop","FDA The Seafood List, 2023/07/21"
"Chloroscombrus orqueta","bumper","FDA The Seafood List, 2023/07/21"
