"scientific_name","common_name","source"
"Sardinella janeiro","sardine","FDA The Seafood List, 2023/07/21"
"Sardinops melanostictus","pilchard","FDA The Seafood List, 2023/07/21"
"Sardinops neopilchardus","pilchard","FDA The Seafood List, 2023/07/21"
"Sardinops ocellatus","pilchard","FDA The Seafood List, 2023/07/21"
"Sarotherodon galilaeus galilaeus","tilapia","FDA The Seafood List, 2023/07/21"
"Saurida elongata","lizardfish","FDA The Seafood List, 2023/07/21"
"Saurida filamentosa","lizardfish","FDA The Seafood List, 2023/07/21"
"Saxidomus gigantea","butter clam","FDA The Seafood List, 2023/07/21"
"Saxidomus nuttalli","butter clam","FDA The Seafood List, 2023/07/21"
"Scardinius erythrophthalmus","carp","FDA The Seafood List, 2023/07/21"
"Scaridae","parrotfish","JL"
"Schedophilus ovalis","imperial blackfish","FDA The Seafood List, 2023/07/21"
"Schistocerca gregaria","desert locust","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Sciades herzbergii","whiskerfish","FDA The Seafood List, 2023/07/21"
"Sciades parkeri","gilleybaka","FDA The Seafood List, 2023/07/21"
"Scleropages legendrei","arowana","FDA The Seafood List, 2023/07/21"
"Scomberomorus lineolatus","streaked spanish mackerel","BP"
"Scomberomorus regalis","spanish mackerel","FDA The Seafood List, 2023/07/21"
"Scomberomorus sierra","spanish mackerel","FDA The Seafood List, 2023/07/21"
"Scophthalmus rhombus","brill","JL"
"Scorpaena cardinalis","rockfish","FDA The Seafood List, 2023/07/21"
"Scorpaena dispar","scorpionfish","FDA The Seafood List, 2023/07/21"
"Scorpaena guttata","scorpionfish","FDA The Seafood List, 2023/07/21"
"Scorpaena papillosa","rockfish","FDA The Seafood List, 2023/07/21"
"Scylla","mud crab","JL"
"Scylla olivacea","swimming crab","FDA The Seafood List, 2023/07/21"
"Scylla paramamosain","swimming crab","FDA The Seafood List, 2023/07/21"
"Scylla serrata","indo-pacific swamp crab","FAO Cultured Aquatic Species Fact Sheets"
"Scylla tranquebarica","swimming crab","FDA The Seafood List, 2023/07/21"
"Scyllarides aequinoctialis","slipper lobster","FDA The Seafood List, 2023/07/21"
"Scyllarides brasiliensis","slipper lobster","FDA The Seafood List, 2023/07/21"
"Scyllarides squammosus","slipper lobster","FDA The Seafood List, 2023/07/21"
"Sebastes atrovirens","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes borealis","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes capensis","scorpionfish","FDA The Seafood List, 2023/07/21"
"Sebastes carnatus","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes chlorostictus","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes chrysomelas","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes ensifer","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes gilli","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes lentiginosus","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes levis","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes melanosema","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes nigrocinctus","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes phillipsi","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes rastrelliger","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes rufinanus","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes serranoides","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastes serriceps","rockfish","FDA The Seafood List, 2023/07/21"
"Sebastolobus altivelis","thornyhead","FDA The Seafood List, 2023/07/21"
"Selachimorpha","shark","JL"
"Sepia esculenta","cuttlefish","FDA The Seafood List, 2023/07/21"
"Sepia lycidas","cuttlefish","FDA The Seafood List, 2023/07/21"
"Sepiida","cuttlefish","JL"
"Sepiola rondeletii","squid","FDA The Seafood List, 2023/07/21"
"Sepioteuthis australis","squid","FDA The Seafood List, 2023/07/21"
"Sepioteuthis lessoniana","squid","FDA The Seafood List, 2023/07/21"
"Sepioteuthis sepioidea","squid","FDA The Seafood List, 2023/07/21"
"Sergia lucens","shrimp","FDA The Seafood List, 2023/07/21"
"Seriolella brama","warehou","FDA The Seafood List, 2023/07/21"
"Seriolella caerulea","warehou","FDA The Seafood List, 2023/07/21"
"Seriolella punctata","warehou","FDA The Seafood List, 2023/07/21"
"Seriphus politus","drum","FDA The Seafood List, 2023/07/21"
"Serranidae","sea bass","JL"
"Serranus atricauda","bass","FDA The Seafood List, 2023/07/21"
"Serripes groenlandicus","cockle","FDA The Seafood List, 2023/07/21"
"Sicyonia brevirostris","brown rock shrimp","SJ"
"Siganus","spinefeet","FAO Cultured Aquatic Species Fact Sheets"
"Siliqua alta","razor clam","FDA The Seafood List, 2023/07/21"
"Siliqua costata","razor clam","FDA The Seafood List, 2023/07/21"
"Siliqua patula","razor clam","Marty Smith"
"Sillago bassensis","whiting","FDA The Seafood List, 2023/07/21"
"Sillago domina","whiting","FDA The Seafood List, 2023/07/21"
"Sillago robusta","whiting","FDA The Seafood List, 2023/07/21"
"Siluriformes","catfish","JL"
"Simomactra dolabriformis","surfclam","FDA The Seafood List, 2023/07/21"
"Simomactra falcata","surfclam","FDA The Seafood List, 2023/07/21"
"Simomactra planulata","surfclam","FDA The Seafood List, 2023/07/21"
"Sinotaia quadrata","snail","FDA The Seafood List, 2023/07/21"
"Soleidae","sole","JL"
"Solen grandis","razor clam","FDA The Seafood List, 2023/07/21"
"Solen marginatus","razor clam","FDA The Seafood List, 2023/07/21"
"Solen rostriformis","razor clam","FDA The Seafood List, 2023/07/21"
"Solen viridis","razor clam","FDA The Seafood List, 2023/07/21"
"Solenocera agassizii","shrimp","FDA The Seafood List, 2023/07/21"
"Solenocera melantho","shrimp","FDA The Seafood List, 2023/07/21"
"Somileptus gongota","loach","FDA The Seafood List, 2023/07/21"
"Spaerechinus granularis","sea urchin","FDA The Seafood List, 2023/07/21"
"Sphenarium purpurascens","grasshopper","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Sphoeroides","fugu fish","JL"
"Sphoeroides lobatus","puffer","FDA The Seafood List, 2023/07/21"
"Sphyraena","barracuda","JL"
"Sphyraena argentea","barracuda","FDA The Seafood List, 2023/07/21"
"Sphyraena ensis","barracuda","FDA The Seafood List, 2023/07/21"
"Sphyrna tudes","shark","FDA The Seafood List, 2023/07/21"
"Spirinchus starksi","smelt","FDA The Seafood List, 2023/07/21"
"Spisula sachalinensis","surf clam","FDA The Seafood List, 2023/07/21"
"Spisula solida","surf clam","SJ"
"Spisula solidissima","atlantic surf clam","Marty Smith"
"Sprattus","sprat","JL"
"Squalidae","dogfish","JL"
"Squatina californica","angel shark","FDA The Seafood List, 2023/07/21"
"Squilla mantis","mantis shrimp","FDA The Seafood List, 2023/07/21"
"Stenotomus caprinus","porgy","FDA The Seafood List, 2023/07/21"
"Sthenoteuthis oualaniensis","squid","FDA The Seafood List, 2023/07/21"
"Stromateidae","butter fish","JL"
"Stromateus brasiliensis","butterfish","FDA The Seafood List, 2023/07/21"
"Strombidae","conch","JL"
"Strombus alatus","conch","FDA The Seafood List, 2023/07/21"
"Strombus costatus","conch","FDA The Seafood List, 2023/07/21"
"Strombus gigas","conch","FDA The Seafood List, 2023/07/21"
"Strombus pugilis","conch","FDA The Seafood List, 2023/07/21"
"Strongylocentrotus droebachiensis","green sea urchin","BP"
"Strongylocentrotus purpuratus","pacific purple sea urchin","BP"
"Styela clava","sea squirt","FDA The Seafood List, 2023/07/21"
"Styela plicata","sea squirt","FDA The Seafood List, 2023/07/21"
"Sylvilagus","cottontail rabbit","BP"
"Symphorichthys spilurus","snapper","FDA The Seafood List, 2023/07/21"
"Symphorus nematophorus","snapper","FDA The Seafood List, 2023/07/21"
"Synclidopus macleayanus","sole","FDA The Seafood List, 2023/07/21"
"Tagelus californianus","razor clam","FDA The Seafood List, 2023/07/21"
"Tagelus dombeii","razor clam","FDA The Seafood List, 2023/07/21"
"Tagelus plebeius","razor clam","FDA The Seafood List, 2023/07/21"
"Takifugu","fugu fish","JL"
"Tapes rhomboides","littleneck clam","FDA The Seafood List, 2023/07/21"
"Tapes variegata","littleneck clam","FDA The Seafood List, 2023/07/21"
"Tectura testudinalis","limpet","FDA The Seafood List, 2023/07/21"
"Tegillarca granosa","blood cockle","SJ"
"Tenebrio molitor","yellow mealworm beetle","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Tessaratoma quadrata","stink bug","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Tetraodontidae","blowfish","JL"
"Thelenota ananas","prickly redfish","Australian Fisheries Management Authority"
"Thyrsitops lepidopoides","gemfish","FDA The Seafood List, 2023/07/21"
"Thysanoessa inermis","krill","FDA The Seafood List, 2023/07/21"
"Tibicen pruinosus","cicada","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Tilapia rendalli","tilapia","FDA The Seafood List, 2023/07/21"
"Tiostrea lutaria","oyster","FDA The Seafood List, 2023/07/21"
"Tivela stultorum","pismo clam","FDA The Seafood List, 2023/07/21"
"Todarodes angolensis","squid","FDA The Seafood List, 2023/07/21"
"Todarodes pacificus","japanese flying squid","SJ"
"Todarodes sagittatus","squid","FDA The Seafood List, 2023/07/21"
"Tonna galea","tun","FDA The Seafood List, 2023/07/21"
"Torpedo californica","electric ray","FDA The Seafood List, 2023/07/21"
"Torpedo nobiliana","torpedo","FDA The Seafood List, 2023/07/21"
"Trachinotus","pompano","JL"
"Trachinotus africanus","southern pompano","SJ"
"Trachinotus kennedyi","pompano","FDA The Seafood List, 2023/07/21"
"Trachinotus rhodopus","pompano","FDA The Seafood List, 2023/07/21"
"Trachurus declivis","jack mackerel","FDA The Seafood List, 2023/07/21"
"Trachurus novaezelandiae","jack mackerel","FDA The Seafood List, 2023/07/21"
"Trachysalambria curvirostris","shrimp","FDA The Seafood List, 2023/07/21"
"Tresus capax","surfclam","FDA The Seafood List, 2023/07/21"
"Tresus nuttallii","surfclam","FDA The Seafood List, 2023/07/21"
"Trionyx sinensis","chinese softshell turtle","FAO Cultured Aquatic Species Fact Sheets"
"Triportheus albus","hatchetfish","FDA The Seafood List, 2023/07/21"
"Triportheus elongatus","hatchetfish","FDA The Seafood List, 2023/07/21"
"Trophon geversianus","sea snail","FDA The Seafood List, 2023/07/21"
"Turbo cornutus","top shell","FDA The Seafood List, 2023/07/21"
"Ucides cordates","fiddler crab","FDA The Seafood List, 2023/07/21"
"Ucides occidentalis","pacific mangrove ghost crab","BP"
"Umbrina cirrosa","drum","FDA The Seafood List, 2023/07/21"
"Umbrina coroides","drum","FDA The Seafood List, 2023/07/21"
"Umbrina roncador","croaker","FDA The Seafood List, 2023/07/21"
"Upeneichthys lineatus","goatfish","FDA The Seafood List, 2023/07/21"
"Upeneus parvus","goatfish","FDA The Seafood List, 2023/07/21"
"Urophycis brasiliensis","hake","FDA The Seafood List, 2023/07/21"
"Urophycis cirrata","hake","FDA The Seafood List, 2023/07/21"
"Uroteuthis chinensis","squid","FDA The Seafood List, 2023/07/21"
"Uroteuthis duvauceli","squid","FDA The Seafood List, 2023/07/21"
"Varanus giganteus","perentie","Newton, ""The Oldest Foods on Earth"""
"Venerupis aspera","littleneck clam","FDA The Seafood List, 2023/07/21"
"Venerupis aurea","littleneck clam","FDA The Seafood List, 2023/07/21"
"Venerupis decussata","littleneck clam","FDA The Seafood List, 2023/07/21"
"Venerupis philippinarum","japanese littleneck","BP"
"Vespa orientalis","oriental hornet","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Vespa velutina","asian hornet","BP"
"Watasenia scintillans","squid","FDA The Seafood List, 2023/07/21"
"Xanthidae","mud crab","JL"
"Xenobrama microlepis","pomfret","FDA The Seafood List, 2023/07/21"
"Xiphopenaeus kroyeri","shrimp","FDA The Seafood List, 2023/07/21"
"Xylotrupes gideon","brown rhinoceros beetle","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Zenopsis conchifera","dory","FDA The Seafood List, 2023/07/21"
"Zenopsis nebulosa","mirror dory","SJ"
"Zeus capensis","cape dory","SJ"
"Zidona dufresnei","snail","FDA The Seafood List, 2023/07/21"
"Zonocerus variegatus","painted grasshopper","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Zygochlamys delicatula","scallop","FDA The Seafood List, 2023/07/21"
"Zygochlamys patagonica","scallop","FDA The Seafood List, 2023/07/21"
